MeaningId	Top5
ветер.1	фен, вентилятор, паровоз, самовар, пылесос
ветер.2	шум, гвалт, гомон, кашель, вой
ветер.3	тракт, мыс, склон, проход, континент
ветер.4	ветерок, сквозняк, бриз, шторм, ураган
вещество.1	марево, облако, месиво, пятно, варево
вещество.2	существо, растение, зелье, снадобье, излучение
взрослый.1	пожилой, незнакомый, сорокалетний, немолодой, представительный
взрослый.2	нормальный, умный, женатый, зрелый, здоровый
вибрация.1	тряска, дрожь, качка, пульсация, рябь
виноград.1	инжир, урожай, крыжовник, ячмень, персик
винтовка.1	пушка, двустволка, сумка, сабля, беретта
витамин.1	инициалы, буквой, букву, инициалами, инициал
витамин.2	bf, hs, fw, ar, db
витамин.3	raison, coup, hors, chef, chefs
витамин.4	Витамин, буква, литера, robert, Буква
витамин.5	+, £, cos, ®, $
витамин.6	гормон, препарат, фермент, минерал, параметр
витамин.7	витамина, витамины, витамином, гепатит, провитамин
власть.1	контроль, опеку, господство, гегемонию, юрисдикцию
власть.2	бюрократия, Россия, государственность, печать, пропаганда
влечение.1	отвращение, пристрастие, стремление, притяжение, тяготение
вода.1	кровь, слюна, влага, водица, водичка
возбуждение.1	волнение, раздражение, напряжение, беспокойство, нетерпение
воздействие.1	влияние, действие, давление, впечатление, сопротивление
возраст.1	джентльмен, мужчина, американец, семьянин, юбилей
возраст.2	размер, рост, диаметр, вес, доход
возраст.3	период, рубеж, инструмент, типаж, показатель
война.1	битва, драка, борьба, схватка, бойня
волк.1	зверь, тигр, лев, медведь, пес
волна.1	струя, судорога, вспышка, дрожь, вода
воля.1	душа, любовь, хватка, сила, просьба
воля.2	симпатия, тяга, страсть, привязанность, ненависть
воля.3	Воля, кара, милость, благодать, десница
воровство.1	хулиганство, мошенничество, взяточничество, мародерство, пьянство
восхищение.1	изумление, возмущение, недоумение, сочувствие, недовольство
впечатление.1	воздействие, ощущение, влияние, зрелище, впечатлѣніе
впечатление.2	впечатления, фурор, сенсацию, посадку, перегруппировку
врач.1	хирург, инженер, юрист, психиатр, психолог
встреча.1	беседа, поездка, стычка, свадьба, помолвка
выбор.1	вывод, поступок, вариант, путь, диагноз
высота.1	достигнув, около, достигающие, достигала, достигающих
высота.2	высотой, шириной, длиной, пролетев, диаметром
высота.3	глубина, дистанция, величина, зарплата, сумма
высота.4	длина, ширина, толщина, дальность, грузоподъемность
газета.1	пресса, энциклопедия, газетка, партия, фирма
генерал.1	вице, контр, обер, премьер, статс
генерал.2	полковник, генерала, генералу, подполковник, генералом
геометрия.1	математика, психология, арифметика, логика, физика
германец.1	воин, немец, ариец, англичанин, славянин
гимнастика.1	зарядка, разминка, тренировка, физкультура, пробежка
гном.1	старик, мужчина, мужик, воин, толстяк
гоблин.1	старик, гном, эльф, тролль, человечек
гоблин.2	Тимон, Арролд, Учиха, арн, Мадара
говядина.1	свинина, баранина, ветчина, рыба, телятина
голова.1	гриппом, тифом, ангиной, корью, туберкулезом
голова.2	башка, спина, поясница, головка, рука
голод.1	жажду, стыд, тошноту, неловкость, головокружение
голод.2	холод, дискомфорт, страх, жар, стресс
голос.1	самооценку, квалификацию, температуру, градус, налоги
голос.2	голосок, шепот, смех, басок, крик
гордость.1	гордыня, стеснительность, застенчивость, скромность, властность
гордость.2	радость, нежность, неловкость, грусть, злость
гормон.1	темпы, гормоном, невысокого, карьерного, замедление
гормон.2	дисфункции, гормонами, гипофункция, дисфункция, аденома
гормон.3	фермент, витамин, препарат, токсин, орган
гормон.4	гормоны, инсулин, адреналин, эстроген, ферменты
город.1	поселок, городок, дом, мир, замок
город.2	Париж, Лондон, Рим, Киев, деревню
горючее.1	топливо, бензин, боеприпасы, продовольствие, керосин
горючее.2	взрывчатое, питательное, ядовитое, красящее, отравляющее
горючее.3	плачевно, неудачей, благополучно, дракой, тупиком
господин.1	гражданин, джентльмен, мужчина, дяденька, дядечка
господин.2	мсье, месье, сеньор, госпожа, синьор
господин.3	а, однако, когда, но, подумал
господин.4	герр, товарищ, бывший, уважаемый, пан
государство.1	общество, правительство, княжество, королевство, войско
грабеж.1	разбой, шантаж, бандитизм, мордобой, разврат
грабеж.2	бандит, грабитель, вор, лжец, хулиган
гравитация.1	радуга, елка, мушка, плотина, дамба
гравитация.2	радиация, температура, облачность, инфляция, самооценка
грех.1	проступок, подвиг, промах, преступление, святотатство
грех.2	грешно, глупо, мешает, помешает, зазорно
грех.3	позор, недуг, порок, груз, искус
грех.4	грешник, эгоист, зануда, выдумщик, ревнивец
гриб.1	помидор, фрукт, огурец, инжир, каштан
гриб.2	реактор, взрыв, заряд, фугас, боеприпас
гриб.3	грибок, цветок, мухомор, столб, лишайник
грипп.1	голод, шторм, понос, ураган, ливень
грипп.2	помет, жир, корм, окорок, хлев
грипп.3	насморк, тиф, бронхит, простуду, лихорадку
грудь.1	спину, шею, живот, ягодицу, челюсть
грудь.2	спина, шея, попка, задница, рука
груз.1	бремя, камень, рюкзак, чемодан, воз
груз.2	багаж, балласт, товар, труд, вес
грызун.1	зверек, зверь, воришка, хищник, ублюдок
дата.1	дату, даты, датой, после, своевременность
дата.2	цифра, датировка, копия, причина, веха
дать.1	помочь, подарить, показать, предоставить, предложить
дача.1	квартира, вилла, гостиница, усадьба, ферма
дворец.1	дворце, Францию, двор, Флоренцию, сне
дворец.2	замок, особняк, сад, дом, трон
девушка.1	женщина, девочка, девица, блондинка, девчушка
девушка.2	она, Катя, Настя, Лиза, Лена
дед.1	старик, старец, дедок, старичок, старикан
дед.2	отец, дедушка, прадед, муж, брат
дедушка.1	дед, отец, папа, муж, брат
действие.1	воздействие, влияние, средство, явление, впечатление
дельфин.1	Дракон, Волк, Медведь, Камень, Орел
дельфин.2	шарик, шар, цилиндр, полумесяц, цвет
дельфин.3	кит, дракон, лебедь, волк, медведь
демон.1	дьявол, бес, вампир, колдун, монстр
депрессия.1	апатия, бессонница, хандра, меланхолия, паника
дерево.1	деревце, деревцо, бревно, растение, полено
дисциплина.1	выучка, выправка, субординация, организация, повинность
до.1	касались, касаясь, коснувшись, касался, касаются
до.2	после, [до, дождаться, дождавшись, дождался
до.3	достигающие, достигая, достиг, около, достигавшие
до.4	вместо, для, ДО, у, ради
добро.1	Добро, зло, имущество, чудеса, согласие
добро.2	зарядку, выводы, одолжения, гимнастику, аборт
добрый.1	хороший, мудрый, умный, милый, славный
дождь.1	ливень, дождик, снегопад, дождичек, шторм
дождь.2	ноябрь, декабрь, октябрь, февраль, сентябрь
доктор.1	бакалавр, профессор, преподаватель, магистр, профессора
доктор.2	дружище, сэр, старина, подумал, однако
доктор.3	господин, герр, фрау, месье, сеньор
доктор.4	кандидат, доктора, кандидатом, доктором, кандидату
доктор.5	мистер, миссис, мисс, капитан, миз
документ.1	факт, текст, файл, феномен, эпизод
документ.2	протокол, меморандум, договор, отчет, указ
дом.1	особняк, коттедж, домик, сарай, город
дом.2	квартиру, комнату, хижину, усадьбу, спальню
домашний.1	рогатый, породистый, вьючный, тягловый, двуногий
домашний.2	кодовый, регистрационный, идентификационный, сольный, порядковый
домашний.3	мамин, ваш, свой, бабушкин, знакомый
домашний.4	редакционный, электронный, точный, парижский, нужный
домашний.5	мобильный, контактный, сотовый, спутниковый, квартирный
домашний.6	купальный, махровый, банный, служебный, шелковый
домашний.7	семейный, личный, повседневный, собственный, убогий
дочь.1	сестра, жена, мать, дочка, внучка
дочь.2	дочку, сестру, племянницу, внучку, жену
драгоценность.1	ценность, красоту, цель, роскошь, радость
драгоценность.2	реликвия, вещь, достопримечательность, жемчужина, находка
драгоценность.3	реликвию, вещицу, святыню, жемчужину, безделушку
дракон.1	тюльпан, шар, цветок, цвет, треугольник
дракон.2	орел, лев, монстр, ястреб, зверь
дракон.3	Дракон, Орел, Рыцарь, Цветок, Волк
древесина.1	кора, кожа, глина, ветка, резина
друг.1	закадычного, лучшего, верного, четвероногого, близкого
друг.2	пуповиной, кабелем, проводами, трубопроводами, проходами
друг.3	исключительно, только, преимущественно, именно, ни
друг.4	свысока, исподлобья, украдкой, снисходительнее, недоброжелательно
друг.5	союзник, ученик, соратник, отдых, защитник
друг.6	непосредственно, напрямую, накоротке, впрямую, лично
друг.7	издали, сверху, внешне, цветом, скорее
друг.8	другъ, ДРУГ, дpуг, [друг, друт
друг.9	лбами, носами, животами, щекой, грудью
друг.10	слева, справа, отстоит, отстоящие, отстоящий
друг.11	старому, лучшему, закадычному, четвероногому, близкому
друг.12	дружок, дружочек, приятель, товарищ, кореш
дружба.1	беседа, переписка, вражда, встреча, любовь
душа.1	натура, совесть, воля, психика, природа
душа.2	душенька, жена, семья, мать, задница
душа.3	голова, спина, нога, шея, поясница
душа.4	душонка, женщина, девочка, девушка, собака
дядя.1	а, но, однако, когда, пока
дядя.2	подумал, Дядя, Дядь, возмутился, удивился
дядя.3	дядь, дед, дедушка, брат, дядюшка
дядя.4	сэр, старина, милый, дружище, голубчик
дядя.5	девятилетний, одиннадцатилетний, тринадцатилетний, семилетний, двенадцатилетний
европеец.1	мужчина, человек, джентльмен, англичанин, мужик
еда.1	пища, закуска, жратва, выпивка, кормежка
епископ.1	священник, викарий, архиерей, кардинал, император
епископ.2	архиепископ, митрополит, святитель, преосвященный, архимандрит
епископ.3	епископа, уроженец, епископом, епископу, близ
епископ.4	Варлаам, Дионисий, Стефан, Симеон, Макарий
ж.1	тебе, им, вам, ему, ей
ж.2	це, гэта, тобі, тобi, тепер
ж.3	денется, девается, девалась, подевалась, делось
ж.4	стоишь, торчишь, бродишь, стоите, стоим
ж.5	случилось, сталось, стряслось, сравнится, происходило
ж.6	молчишь, скажешь, плачешь, орешь, кричишь
ж.7	прикажешь, прикажете, велишь, повелишь, посоветуешь
ж.8	ш, н, р, з, т
ж.9	скажет, даст, поверит, принесет, укажет
ж.10	живет, находится, прячется, взялся, обитает
ж.11	же, б, ведь, конкретно, именно
жадность.1	алчность, ревность, похоть, гордыня, жестокость
жалоба.1	мольба, надежда, обида, досада, тоска
жалоба.2	заявка, просьба, претензия, радиограмма, телеграмма
жар.1	холод, тепло, озноб, зной, зуд
желание.1	вожделение, стремление, любопытство, пожелание, искушение
желудок.1	хищник, волк, тигр, удав, клоп
желудок.2	обморок, кашель, ревматизм, спазм, артрит
желудок.3	судорогой, спазмом, спазмами, судорогами, тошнотой
желудок.4	треп, болтовни, болтовней, формальностью, болтовне
желудок.5	холодильник, кошелек, бокал, стакан, бак
желудок.6	живот, кишечник, желудки, внутренности, горло
желудок.7	организм, мозг, собеседник, муж, приятель
жена.1	мать, супруга, сестра, мама, подруга
женщина.1	девушка, дама, девочка, девица, особа
жестокость.1	щедрость, грубость, осторожность, расточительность, снисходительность
живность.1	нечисть, дичь, утварь, мелочь, дребедень
живность.2	птицу, рыбешку, зверушку, рыбу, скотину
живот.1	животик, грудь, затылок, зад, желудок
живот.2	голова, спина, поясница, шея, нога
живот.3	сверток, портфель, кошель, кошелек, бурдюк
живот.4	гриппом, корью, ангиной, тифом, малярией
живот.5	бугорок, горб, камень, синяк, рубец
животное.1	существо, чудовище, насекомое, создание, растение
житель.1	пейзаж, уголок, ландшафт, морг, закоулок
житель.2	уроженец, уроженка, мэр, жительница, уроженца
житель.3	обитатель, старожил, люд, гражданин, староста
жук.1	гад, мерзавец, лис, гаденыш, слизняк
жук.2	грузовичок, грузовик, мерседес, кадиллак, фургон
жук.3	ромб, цветок, полумесяц, шарик, треугольник
жук.4	паук, червяк, червь, дракон, таракан
забава.1	игра, игрушка, шутка, тема, шалость
заведение.1	учреждение, местечко, мероприятие, предприятие, развлечение
зависимость.1	оторванность, взаимосвязь, связь, отстраненность, независимость
завод.1	заводик, комбинат, цех, заводы, техникум
задаток.1	аванс, выкуп, гонорар, штраф, предоплату
задаток.2	залог, коррективы, поправку, поправки, ясность
задача.1	проблема, цель, миссия, работа, задачка
задница.1	жопа, попка, спина, башка, шея
закон.1	принцип, миропорядок, постулат, догмат, миф
закон.2	Закон, запрет, этикет, субординацию, устав
закон.3	декрет, билль, указ, Декрет, Акт
замок.1	город, особняк, дворец, замке, дом
замок.2	засов, замочек, запор, замки, шпингалет
замок.3	затвором, задвижкой, выключателем, засовом, замком
занятие.1	времяпрепровождение, развлечение, времяпровождение, зрелище, мероприятие
запас.1	резерв, лимит, излишек, избыток, объем
запас.2	самородок, медалью, слиток, телец, монетой
запас.3	расход, запасы, перерасход, запаса, нехватка
запах.1	напиток, нектар, настой, соус, сок
запах.2	струйки, струйка, струйку, напившись, потеки
запах.3	аромат, привкус, душок, вкус, запашок
запах.4	запахом, запахе, вонью, запахами, смрадом
запах.5	биение, пульсацию, тепло, теплоту, прикосновение
запись.1	записи, видеозаписи, рукопись, корреспонденцию, записанное
запись.2	съемка, беседа, передача, кассета, дискуссия
запись.3	заметка, надпись, пометка, отметка, статья
запись.4	видеозапись, пленку, кассету, автоответчик, аудиозапись
запись.5	заметку, пометку, статью, сообщение, лекцию
зарплата.1	температура, урожайность, самооценка, высота, успеваемость
зарплата.2	пенсия, стипендия, цена, плата, награда
затрата.1	сумма, единица, отдача, прибавка, величина
затрата.2	хватило, наберусь, недостанет, недостало, набралась
затрата.3	прорва, уйма, бездна, масса, кладовая
затрата.4	трата, растрата, экономия, концентрация, потеря
затрата.5	требует, требовало, потребует, требующие, требующим
защита.1	страховка, гарантия, маскировка, зашита, поддержка
звезда.1	звездочка, Звезда, заря, луна, роза
зверь.1	хищник, зверек, волк, лев, тигр
звук.1	шум, стон, смешок, шорох, хрип
звук.2	громкость, свет, музыку, двигатель, приемник
здание.1	здании, фойе, коридорах, подвалах, вестибюле
здание.2	строение, сооружение, помещение, дерево, крыльцо
злак.1	феномен, компонент, фермент, обычай, недуг
злак.2	минерал, продукт, артефакт, ингредиент, инструмент
злак.3	колос, кустарник, цветок, фрукт, напиток
змея.1	дракона, змия, Змея, чудовища, монстра
змея.2	гадюка, кобра, ящерица, оса, птица
знак.1	сигнал, отмашку, команду, знака, указание
знак.2	жест, признак, символ, пример, значок
знак.3	знаки, заслуживающий, заслуживающее, заслуживающих, заслуживающей
знак.4	ознаменование, ожидании, целях, предчувствии, качестве
знак.5	жесте, порыве, знаке, гримасе, духе
знак.6	велели, приказали, разрешат, разрешили, пришлось
знакомство.1	общение, сотрудничество, свидание, ознакомление, соприкосновение
знакомство.2	возиться, знакомиться, общаться, экспериментировать, встречаться
знакомство.3	дружбу, беседу, интрижку, разговор, шашни
знание.1	познание, понимание, мышление, незнание, бытие
знание.2	учение, понятие, суждение, представление, утверждение
зуб.1	корью, тифом, гриппом, лихорадкой, ангиной
зуб.2	клык, живот, зубик, зубок, позвоночник
зуб.3	голова, поясница, спина, нога, коленка
зубр.1	зверь, воин, хрыч, вояка, волчара
зубр.2	бык, вепрь, медведь, волк, лев
игра.1	работа, забава, игрушка, шутка, штука
игра.2	война, битва, вечеринка, схватка, драка
игрушка.1	вещица, кукла, штучка, штука, штуковина
издание.1	переиздание, полугодие, блюдо, изд, поколение
издание.2	мая, сентября, апреля, января, декабря
изделие.1	блюдо, сооружение, украшение, произведение, строение
излучение.1	облучение, вещество, свечение, воздействие, сияние
изобретение.1	открытие, творение, произведение, начинание, достижение
институт.1	техникум, колледж, вуз, университет, факультет
инструкция.1	директива, информация, справка, записка, анкета
интеллект.1	разум, ум, мозг, талант, организм
интеллигенция.1	литература, элита, культура, эмиграция, буржуазия
интуиция.1	репутация, идея, мускулатура, работа, сигнализация
интуиция.2	логика, наблюдательность, проницательность, выдержка, смекалка
интуиция.3	жена, мама, мать, подруга, бабушка
инфекция.1	пневмония, болезнь, эпидемия, патология, хворь
инфекция.2	зараза, бактерия, радиация, флора, травма
информация.1	справка, документация, гипотеза, легенда, инфа
ископаемое.1	дизельное, ракетное, жидкое, ядерное, авиационное
ископаемое.2	четвероногое, двуногое, доисторическое, хищное, диковинное
ископаемое.3	существо, животное, насекомое, растение, вещество
искусство.1	мастерство, общество, ремесло, государство, мышление
испытание.1	проверку, испытания, Испытание, экзамен, инициацию
испытание.2	потрясение, препятствие, собеседование, задание, наказание
исследователь.1	историк, ученый, физик, антрополог, экономист
истина.1	правда, реальность, проблема, Истина, тайна
история.1	сцена, штука, сказка, картина, легенда
источник.1	луч, лучик, сгусток, родник, проблеск
источник.2	получение, утечка, накопление, передача, поглощение
источник.3	выброс, выплеск, избыток, расход, всплеск
источник.4	кладезь, носитель, первоисточник, источники, накопитель
к.1	къ, /к, благодаря, по, радовалась
к.2	с, над, перед, за, пеpед
к.3	научили, научите, научить, учили, учит
кактус.1	цветок, фикус, папоротник, каштан, кустарник
кактус.2	человечек, паук, зверек, очкарик, мужичонка
камень.1	камешек, булыжник, валун, камушек, гранит
канал.1	тоннель, туннель, телеканал, перешеек, коридор
канал.2	сеанс, родственные, ассоциативные, внебрачные, причинной
канал.3	Канал, Дунай, Днепр, Евфрат, Днестр
канал.4	экран, тумблер, терминал, аппарат, пульт
канцлер.1	бюджет, казначей, чиновник, обвинитель, деятель
канцлер.2	рейхсканцлер, посол, король, фельдмаршал, император
канцлер.3	дипломат, полководец, писатель, военачальник, поэт
канцлер.4	ротмистр, майор, полковник, хорунжий, фельдфебель
канцлер.5	гетман, Канцлер, магистр, князь, инквизитор
капуста.1	свекла, рыба, говядина, картошка, свинина
кардинал.1	архиепископ, епископ, император, философ, король
кардинал.2	герцог, кардинала, кардиналу, маркиз, кардиналом
кардинал.3	волк, костюм, призрак, Волк, жеребец
карта.1	карточка, папка, сумка, бумажка, шкатулка
карта.2	книга, схема, диаграмма, фотография, фишка
карьера.1	жена, подруга, мать, сестра, невеста
карьера.2	репутация, миссия, биография, судьба, работа
катаклизм.1	кризис, скандал, коллапс, феномен, потоп
катастрофа.1	авария, трагедия, беда, буря, гроза
каша.1	мука, мешанина, кутерьма, неразбериха, свалка
каша.2	размазня, чепуха, бессмыслица, ерунда, белиберда
каша.3	кашица, жижа, лужа, патока, паста
каша.4	крупа, похлебка, лепешка, кашка, лапша
квалификация.1	зарплата, репутация, оценка, специализация, цена
квалификация.2	самооценка, температура, влажность, компетентность, скорострельность
квартира.1	комната, квартирка, спальня, дача, каюта
кварц.1	топаз, цвет, мрамор, кристалл, хрусталь
кинжал.1	нож, меч, клинок, стилет, пистолет
кисель.1	сироп, суп, компот, сок, джем
кисель.2	туман, ил, гной, гриб, оттенок
кислота.1	вода, слюна, ржавчина, пена, жидкость
клетчатка.1	калий, кофеин, никотин, глюкоза, магний
клетчатка.2	аллергия, интоксикация, токсикоинфекция, наркомания, гипергликемия
клетчатка.3	добавка, диета, приправа, работа, информация
клетчатка.4	прослойка, вена, ткань, дистрофия, промышленность
клетчатка.5	пища, сода, картофелина, свекла, капуста
климат.1	микроклимат, ландшафт, характер, пейзаж, кризис
климат.2	загар, ветер, бриз, пляж, воздух
клуб.1	столб, клубы, шлейф, колечки, завиток
клуб.2	ресторан, бар, пансионат, пансион, магазин
клуб.3	рубашке, тиши, сорочке, вылазке, рубашки
клуб.4	матч, турнир, марафон, бал, чемпионат
клуб.5	кружок, колледж, форум, сленг, коллектив
клык.1	Клык, Коготь, Зуб, Рог, Хребет
клык.2	зуб, коготь, клинок, шип, бивень
ключ.1	доступ, путь, подход, подступ, допуск
ключ.2	ключи, ключик, отмычку, пистолет, револьвер
книга.1	книжка, статья, брошюра, фраза, пьеса
книжка.1	книга, книжечка, книжица, сказка, статья
князь.1	Князь, Магистр, Инквизитор, Мудрец, Могол
князь.2	визирь, государь, магистр, боярин, княжич
коготь.1	Коготь, Глаз, Клюв, Зуб, Клык
коготь.2	клинок, клык, клюв, нож, кинжал
кожа.1	кожица, шерстка, шкура, шея, лысина
колдовство.1	волшебство, чародейство, заклинание, заклятие, заклятье
количество.1	число, скопление, множество, разнообразие, расстояние
кольцо.1	перстень, браслет, цепочку, шляпу, наручники
кольцо.2	колечко, ожерелье, колье, зеркало, полукольцо
команда.1	семья, компания, группа, бригада, деревня
командир.1	командиром, штурманом, замполитом, комсоргом, комиссаром
командир.2	Командир, Командира, Командиром, Командиру, Штаб
командир.3	бойцы, летчики, офицеры, военнослужащие, подразделения
командир.4	танковые, стрелковые, механизированные, пехотные, штурмовые
командир.5	генерал, контр, обер, вице, штабс
командир.6	саперного, истребительного, штурмового, пулеметного, комендантского
командир.7	командиру, комсорг, замполит, комиссар, военком
командир.8	командующий, командуя, командовавший, командование, командовавшего
комета.1	звезда, молния, птица, стрела, звездочка
компания.1	компашка, семейка, вечеринка, парочка, работа
компания.2	троица, фирма, семья, команда, четверка
комплекс.1	центр, спектр, блок, модуль, отсек
компьютер.1	телевизор, магнитофон, комп, диктофон, кондиционер
конфликт.1	спор, разлад, разрыв, скандал, антагонизм
конфликт.2	разногласия, конфликты, противоречия, трения, раздоры
конфликт.3	противоречие, столкновение, различие, расхождение, соперничество
конфликт.4	ссору, размолвку, драку, конфронтацию, распрю
концерт.1	спектакль, бал, банкет, пир, обед
коньяк.1	водку, вино, шампанское, пиво, чай
корабль.1	катер, самолет, вертолет, флот, челнок
костюм.1	пиджак, костюмчик, сюртук, комбинезон, жакет
кошка.1	собака, кошечка, крыса, пантера, птица
кошка.2	футболка, майка, куртка, шляпа, шерстка
краситель.1	цвет, пигмент, оттенок, лак, окрас
краситель.2	желатин, крахмал, каучук, корм, мед
краситель.3	йод, аммиак, фосфор, холестерин, кальций
краситель.4	продукт, препарат, фермент, ингредиент, материал
краска.1	штукатурка, кровь, помада, позолота, косынка
красный.1	желтый, зеленый, синий, алый, оранжевый
красота.1	грация, чистота, красавица, простота, доброта
крахмал.1	желатин, сахар, дрожжи, уксус, муку
крахмал.2	холестерин, углеводы, жиры, кальций, кофеин
кризис.1	спад, коллапс, застой, подъем, конфликт
критерий.1	принцип, показатель, фактор, аргумент, ориентир
критерий.2	прописные, азбучные, непреложные, вечные, абсолютные
кровь.1	грязь, пот, пену, тушь, краску
кровь.2	ярость, злость, злоба, обида, боль
кровь.3	молоко, нектар, сок, водку, соки
кровь.4	ручьем, ручьями, рекой, фонтаном, струей
кровь.5	вода, слюна, пена, краска, сперма
круг.1	спектр, диапазон, проход, коридор, сферу
круг.2	полукруг, крут, кружок, квадрат, прямоугольник
круг.3	вираж, разворот, пируэт, виток, цикл
круг.4	дугу, окружность, петлю, круги, цепь
